"day","isotype","p"
"7","IgG1","0.867661494774236"
"7","IgG2ac","0.895984414402105"
"7","IgG2b","0.851561891698853"
"7","IgG3","0.504121266988198"
"7","IgM","0.0736665828390356"
"7","TotalG","0.482986734467152"
"10","IgG1","0.625169329552385"
"10","IgG2ac","0.14649664243125"
"10","IgG2b","0.72555504109622"
"10","IgG3","0.514028947603456"
"10","IgM","0.332580645194144"
"10","TotalG","0.95929861203352"
"15","IgG1","0.848828157058685"
"15","IgG2ac","0.0625905690153955"
"15","IgG2b","0.00466389808710836"
"15","IgG3","0.000879505470784068"
"15","IgM","0.0009895619912941"
"15","TotalG","0.145921088909759"
"45","IgG1","0.0278996030496168"
"45","IgG2ac","0.282277593236191"
"45","IgG2b","0.923217714468133"
"45","IgG3","0.061652806264186"
"45","IgM","0.0360085388740168"
"45","TotalG","0.234791162106411"
