"day","isotype","p","iteration"
"7","IgG1","0.686479906947414",1
"7","IgG2ac","0.290513683945966",1
"7","IgG2b","0.493849866515553",1
"7","IgG3","0.849080756360699",1
"7","IgM","0.0273346744113251",1
"7","TotalG","0.869776865379298",1
"10","IgG1","0.626156558110944",1
"10","IgG2ac","0.0739503800084315",1
"10","IgG2b","0.189909568260914",1
"10","IgG3","0.171656124131766",1
"10","IgM","0.22012717705347",1
"10","TotalG","0.30727232817207",1
"15","IgG1","0.530453498752448",1
"15","IgG2ac","0.558810197539965",1
"15","IgG2b","0.615125293990912",1
"15","IgG3","0.197540853618971",1
"15","IgM","0.993019337651126",1
"15","TotalG","0.512613982731737",1
"45","IgG1","0.25340849972588",1
"45","IgG2ac","0.218257225714353",1
"45","IgG2b","0.702342804162847",1
"45","IgG3","0.690434153737364",1
"45","IgM","0.347148423667459",1
"45","TotalG","0.356794158902605",1
"7","IgG1","0.128702394892501",2
"7","IgG2ac","0.938911894797224",2
"7","IgG2b","0.217285733079425",2
"7","IgG3","0.179091864046412",2
"7","IgM","0.516051476096046",2
"7","TotalG","0.248649218740617",2
"10","IgG1","0.893512747709146",2
"10","IgG2ac","0.400233180382159",2
"10","IgG2b","0.829183287030538",2
"10","IgG3","0.223036226151981",2
"10","IgM","0.765462171530965",2
"10","TotalG","0.334155333936938",2
"15","IgG1","0.882036455383055",2
"15","IgG2ac","0.181035690748218",2
"15","IgG2b","0.297550261132417",2
"15","IgG3","0.968258275555903",2
"15","IgM","0.327049887554252",2
"15","TotalG","0.263473480134601",2
"45","IgG1","0.454774642999935",2
"45","IgG2ac","0.472740591640476",2
"45","IgG2b","0.801385079232885",2
"45","IgG3","0.780783688133117",2
"45","IgM","0.93397238485904",2
"45","TotalG","0.638045028242082",2
"7","IgG1","0.868820283739727",3
"7","IgG2ac","0.987721839493029",3
"7","IgG2b","0.242923461671193",3
"7","IgG3","0.588273739807221",3
"7","IgM","0.474543406094958",3
"7","TotalG","0.109505926751877",3
"10","IgG1","0.632742748200006",3
"10","IgG2ac","0.151552262363081",3
"10","IgG2b","0.121057833635414",3
"10","IgG3","0.251197495342968",3
"10","IgM","0.705283701091301",3
"10","TotalG","0.234967865960933",3
"15","IgG1","0.271161656443996",3
"15","IgG2ac","0.0664451955151125",3
"15","IgG2b","0.586700602485462",3
"15","IgG3","0.434137141710549",3
"15","IgM","0.85452172526906",3
