"A"	"X"
"1"	5.07590143870461	3.75641541303216
"2"	7.14705086524236	2.03292281889073
"3"	7.08049434958456	2.94354914020106
"4"	5.08895667798517	4.7100692883675
"5"	4.88703117317865	3.44236140029456
"6"	4.09849668793394	2.24425130860616
"7"	5.80679920681685	4.35928206037945
"8"	5.36651653052135	3.03082185655385
"9"	8.9152565966666	4.23953283371323
"10"	6.38789362157759	5.1316689216575
"11"	4.64329619694275	2.52671533877625
"12"	4.853029172014	2.63892000130812
"13"	5.43791277224029	2.51093671644957
"14"	4.78796089023598	2.60900782803292
"15"	5.82460982973977	3.61378884833095
"16"	5.51375157090712	3.24435522697388
"17"	3.7078228062659	4.30013362728
"18"	6.57731593721425	2.2387881823237
"19"	6.52467847391719	3.94369910522084
"20"	5.04133054495135	4.09569166829175
"21"	6.92364980278041	3.13624546980788
"22"	5.30314500703159	5.11255344827109
"23"	5.28228650377278	3.11603904812275
"24"	6.1519413021898	2.5014047513957
"25"	7.18758738847476	3.31929629965895
"26"	5.73461395242864	2.99151595933872
"27"	4.67362099991222	3.5262101828983
"28"	3.95658048980579	3.14173401272224
"29"	4.78578246524055	3.09312037519696
"30"	5.91875949803434	4.90238527660028
"31"	5.14632691409143	5.74273472829645
"32"	4.30088382688012	4.78182994408913
"33"	6.59568917660606	3.32369467900516
"34"	4.40028381558469	2.76391601650445
"35"	4.47353473482537	3.25084169919538
"36"	4.31135628037631	2.69080276523828
"37"	6.67234111059058	3.22261768598457
"38"	5.58278041072983	2.37497101923616
"39"	4.60995154122406	3.41109443311821
"40"	3.70570158537706	3.31106414680003
"41"	5.90849856541218	3.27575194988836
"42"	4.40267984446563	3.12012189973685
"43"	4.50033572665035	5.1714024599543
"44"	8.16617035001613	4.71402939034663
"45"	8.559558478783	3.85344668528019
"46"	4.58045384899661	4.32872117249414
"47"	7.08087380163779	2.114248657285
"48"	4.71144827784792	2.80748102576716
"49"	4.3229916483177	3.10262652476323
"50"	5.16963693598889	3.82741672714239
"51"	4.9726526186102	4.03825011138912
"52"	8.51652448532945	4.28080849332532
"53"	4.70250753532009	2.74209640989068
"54"	4.76020001544413	3.84008111850072
"55"	4.97950406787077	3.0866380502226
"56"	7.75148418673164	3.07658295019544
"57"	5.29850322980745	3.53839302478982
"58"	3.81488757085053	3.26525652212205
"59"	4.72350819328742	4.16997534751621
"60"	4.41116270250158	3.80554240141628
"61"	6.94626679391204	4.37094494413429
"62"	5.81654609324591	3.93495047009141
"63"	6.05107114043445	1.63876501756905
"64"	5.73477196713497	3.01893376665052
"65"	6.03760659515138	3.23304443331373
"66"	5.35363133271482	5.85516240268462
"67"	5.86125368923456	2.89399440373532
"68"	3.57301232302788	4.3921189300419
"69"	4.88237529175271	3.78602598654246
"70"	4.7804862369683	3.39650955478938
"71"	5.92293029049772	3.32536471146928
"72"	6.08029445261287	5.1395983055248
"73"	4.79970188087275	3.44233115948332
"74"	5.60637103477684	3.71786843049836
"75"	4.5514134043543	4.23389493942535
"76"	5.50937401307276	2.23207839532499
"77"	5.1418684861985	4.28131141786146
"78"	4.48731909903023	3.46570179284746
"79"	4.95284967108306	2.49294104927997
"80"	5.08100910975289	3.95189404252579
"81"	4.11872686131477	4.76022392478251
"82"	4.36929017788505	2.92373128320748
"83"	4.80223856540612	3.89885476146666
"84"	5.72544889208709	3.63887288886827
"85"	6.33369087571556	2.75733704949
"86"	5.55623492722087	3.0479340731884
"87"	6.09149058664152	1.98231784322025
"88"	6.05692088880747	3.72182321600796
"89"	6.62898617273635	5.06555057394526
"90"	4.04293030622099	2.75096304265977
"91"	4.50990718603118	4.28791693009332
"92"	4.66690091010676	2.94817761457705
"93"	6.26605780002099	3.95518732592169
"94"	5.44704157973596	4.46346062407907
"95"	5.70050569340629	3.89300963865004
"96"	5.307808651305	4.16308022720801
"97"	4.74096491171933	2.28719629104063
"98"	6.32107963776502	2.55238093308347
"99"	5.48329470640758	2.6039868213131
"100"	5.18206527239651	5.42921584419129
