"strain","alias","status"
"CC001",13140,0.5
"CC002",15156,2
"CC003",13067,1
"CC004",16188,1
"CC005",16211,0
"CC006",16750,1
"CC007",13421,2
"CC008",8036,0
"CC009",5489,0.5
"CC010",8018,1
"CC011",3252,2
"CC012",8005,1
"CC013",8010,1
"CC014",3415,2
"CC015",3154,1
"CC016",8024,1.5
"CC017",3032,1
"CC018",3609,1
"CC019",16513,1
"CC020",8054,1
"CC021",1566,1
"CC022",8046,1
"CC023",8043,1
"CC024",8004,1
"CC025",8008,1.5
"CC026",8026,1
"CC027",8027,1
"CC028",8016,1
"CC029",3564,2
"CC030",8034,2
"CC031",8031,2
"CC032",8002,1
"CC033",8033,1
"CC034",5080,1
"CC035",5035,1
"CC036",477,2
"CC037",16072,2
"CC038",8049,1
"CC039",15155,1
"CC040",16557,2
"CC041",16441,1
"CC042",18042,1
"CC043",8021,1
"CC044",4410,2
"CC045",8045,1
"CC046",5346,0
"CC047",5612,1
"CC049",16296,2
"CC050",867,1
"CC051",16912,1
"CC052",8052,1
"CC053",773,1
"CC055",16680,1
"CC056",8056,1
"CC057",3393,2
"CC058",5358,1
"CC059",16012,1
"CC060",3460,2
"CC061",8048,1
"CC062",5306,1
"CC063",5391,1
"CC065",5119,0
"CC068",16768,1
"CC070",16034,0
"CC071",16785,1
"CC072",16521,2
"CC073",1515,0
"CC074",3015,1
"CC075",3260,0
